C 128 128 128 512 512 512
S 45 207 70 873 193 890 197
S 45 207 70 890 197 901 197
S 45 207 70 901 197 907 197
S 45 207 70 907 197 909 194
S 45 207 70 909 194 911 194
S 45 207 70 909 194 909 192
S 45 207 70 909 192 908 190
S 45 207 70 909 194 911 192
S 45 207 70 907 197 912 195
S 45 207 70 912 195 913 195
S 45 207 70 912 195 912 194
S 45 207 70 901 197 910 195
S 45 207 70 910 195 911 193
S 45 207 70 911 193 911 193
S 45 207 70 911 193 911 193
S 45 207 70 911 193 911 193
S 45 207 70 911 193 911 193
S 45 207 70 911 193 911 193
S 45 207 70 910 195 916 198
S 45 207 70 901 197 906 201
S 45 207 70 890 197 900 189
S 45 207 70 900 189 900 180
S 45 207 70 900 180 897 179
S 45 207 70 897 179 894 180
S 45 207 70 894 180 891 179
S 45 207 70 891 179 889 179
S 45 207 70 891 179 891 177
S 45 207 70 891 177 889 177
S 45 207 70 889 177 888 177
S 45 207 70 894 180 892 180
S 45 207 70 897 179 895 178
S 45 207 70 895 178 893 176
S 45 207 70 897 179 895 180
S 45 207 70 900 180 896 177
S 45 207 70 896 177 891 177
S 45 207 70 900 189 897 188
S 45 207 70 897 188 895 187
S 45 207 70 895 187 894 186
S 45 207 70 900 189 905 184
S 45 207 70 900 189 902 193
S 45 207 70 902 193 905 194
S 45 207 70 890 197 904 199
S 45 207 70 904 199 911 203
S 45 207 70 911 203 913 209
S 45 207 70 913 209 910 213
S 45 207 70 911 203 917 203
S 45 207 70 917 203 917 204
S 45 207 70 917 204 917 205
S 45 207 70 917 205 918 205
S 45 207 70 917 204 917 205
S 45 207 70 917 203 917 205
S 45 207 70 917 205 917 207
S 45 207 70 911 203 916 203
S 45 207 70 916 203 919 203
S 45 207 70 916 203 920 204
S 45 207 70 916 203 916 204
S 45 207 70 911 203 914 207
S 45 207 70 904 199 914 199
S 45 207 70 904 199 913 201
S 45 207 70 904 199 902 205
S 45 207 70 902 205 904 208
S 45 207 70 890 197 904 194
S 45 207 70 873 193 855 247
S 45 207 70 855 247 872 293
S 45 207 70 872 293 908 307
S 45 207 70 908 307 923 329
S 45 207 70 923 329 945 333
S 45 207 70 945 333 955 343
S 45 207 70 945 333 960 337
S 45 207 70 960 337 973 339
